key,Id,route_id,Capacity,day,fill_level
1,O5AHDP,1,1.100L,-3,23.5
1,O5AHDP,1,1.100L,-2,26.9
1,O5AHDP,1,1.100L,-1,36.2
1,O5AHDP,1,1.100L,0,44.2
2,NH7XHL,1,1.100L,-29,72.0
2,NH7XHL,1,1.100L,-28,78.5
2,NH7XHL,1,1.100L,-27,86.5
2,NH7XHL,1,1.100L,-26,96.7
2,NH7XHL,1,1.100L,-25,3.4
2,NH7XHL,1,1.100L,-24,9.9
2,NH7XHL,1,1.100L,-23,18.4
2,NH7XHL,1,1.100L,-22,26.9
2,NH7XHL,1,1.100L,-21,37.2
2,NH7XHL,1,1.100L,-20,44.9
2,NH7XHL,1,1.100L,-19,54.0
2,NH7XHL,1,1.100L,-18,60.5
2,NH7XHL,1,1.100L,-17,69.6
2,NH7XHL,1,1.100L,-16,78.5
2,NH7XHL,1,1.100L,-15,85.3
2,NH7XHL,1,1.100L,-14,94.7
2,NH7XHL,1,1.100L,-13,1.2
2,NH7XHL,1,1.100L,-12,9.9
2,NH7XHL,1,1.100L,-11,18.1
2,NH7XHL,1,1.100L,-10,25.1
2,NH7XHL,1,1.100L,-9,35.8
2,NH7XHL,1,1.100L,-8,42.6
2,NH7XHL,1,1.100L,-7,51.5
2,NH7XHL,1,1.100L,-6,60.4
2,NH7XHL,1,1.100L,-5,68.6
2,NH7XHL,1,1.100L,-4,77.1
2,NH7XHL,1,1.100L,-3,84.2
2,NH7XHL,1,1.100L,-2,91.9
2,NH7XHL,1,1.100L,-1,0.7
2,NH7XHL,1,1.100L,0,6.5
3,HPDZUE,1,1.100L,-29,69.8
3,HPDZUE,1,1.100L,-28,76.7
3,HPDZUE,1,1.100L,-27,85.1
3,HPDZUE,1,1.100L,-26,89.5
3,HPDZUE,1,1.100L,-25,96.7
3,HPDZUE,1,1.100L,-24,5.5
3,HPDZUE,1,1.100L,-23,9.4
3,HPDZUE,1,1.100L,-22,17.4
3,HPDZUE,1,1.100L,-21,21.2
3,HPDZUE,1,1.100L,-20,28.7
3,HPDZUE,1,1.100L,-19,33.9
3,HPDZUE,1,1.100L,-18,41.2
3,HPDZUE,1,1.100L,-17,49.3
3,HPDZUE,1,1.100L,-16,51.8
3,HPDZUE,1,1.100L,-15,61.4
3,HPDZUE,1,1.100L,-14,67.4
3,HPDZUE,1,1.100L,-13,72.6
3,HPDZUE,1,1.100L,-12,77.6
3,HPDZUE,1,1.100L,-11,86.3
3,HPDZUE,1,1.100L,-10,91.7
3,HPDZUE,1,1.100L,-9,99.2
3,HPDZUE,1,1.100L,-8,5.2
3,HPDZUE,1,1.100L,-7,13.9
3,HPDZUE,1,1.100L,-6,17.5
3,HPDZUE,1,1.100L,-5,22.7
3,HPDZUE,1,1.100L,-4,30.9
3,HPDZUE,1,1.100L,-3,37.3
3,HPDZUE,1,1.100L,-2,45.3
3,HPDZUE,1,1.100L,-1,50.9
3,HPDZUE,1,1.100L,0,56.5
4,BNY3U5,1,120L,-29,20.0
4,BNY3U5,1,120L,-28,22.9
4,BNY3U5,1,120L,-27,27.0
4,BNY3U5,1,120L,-26,28.9
4,BNY3U5,1,120L,-25,35.2
4,BNY3U5,1,120L,-24,37.2
4,BNY3U5,1,120L,-23,38.7
4,BNY3U5,1,120L,-22,42.7
4,BNY3U5,1,120L,-21,48.0
4,BNY3U5,1,120L,-20,52.1
4,BNY3U5,1,120L,-19,57.1
4,BNY3U5,1,120L,-18,61.8
4,BNY3U5,1,120L,-17,61.3
4,BNY3U5,1,120L,-16,62.6
4,BNY3U5,1,120L,-15,64.1
4,BNY3U5,1,120L,-14,71.1
4,BNY3U5,1,120L,-13,72.7
4,BNY3U5,1,120L,-12,76.7
4,BNY3U5,1,120L,-11,79.7
4,BNY3U5,1,120L,-10,83.7
4,BNY3U5,1,120L,-9,88.8
4,BNY3U5,1,120L,-8,90.8
4,BNY3U5,1,120L,-7,93.6
4,BNY3U5,1,120L,-6,95.6
4,BNY3U5,1,120L,-5,0.0
4,BNY3U5,1,120L,-4,3.0
4,BNY3U5,1,120L,-3,7.0
4,BNY3U5,1,120L,-2,13.0
4,BNY3U5,1,120L,-1,13.9
4,BNY3U5,1,120L,0,18.5
5,J4LA,1,120L,-29,90.5
5,J4LA,1,120L,-28,96.6
5,J4LA,1,120L,-27,2.7
5,J4LA,1,120L,-26,12.7
5,J4LA,1,120L,-25,14.1
5,J4LA,1,120L,-24,22.3
5,J4LA,1,120L,-23,25.4
5,J4LA,1,120L,-22,33.9
5,J4LA,1,120L,-21,38.9
5,J4LA,1,120L,-20,43.8
5,J4LA,1,120L,-19,49.7
5,J4LA,1,120L,-18,54.6
5,J4LA,1,120L,-17,62.0
5,J4LA,1,120L,-16,66.3
5,J4LA,1,120L,-15,70.9
5,J4LA,1,120L,-14,76.6
5,J4LA,1,120L,-13,84.5
5,J4LA,1,120L,-12,92.4
5,J4LA,1,120L,-11,96.0
5,J4LA,1,120L,-10,1.3
5,J4LA,1,120L,-9,7.7
5,J4LA,1,120L,-8,15.0
5,J4LA,1,120L,-7,19.1
5,J4LA,1,120L,-6,23.9
5,J4LA,1,120L,-5,31.9
5,J4LA,1,120L,-4,36.7
5,J4LA,1,120L,-3,44.1
5,J4LA,1,120L,-2,47.8
5,J4LA,1,120L,-1,51.4
5,J4LA,1,120L,0,56.9
6,HLQKX5,1,1.100L,-29,17.5
6,HLQKX5,1,1.100L,-28,23.7
6,HLQKX5,1,1.100L,-27,32.9
6,HLQKX5,1,1.100L,-26,35.6
6,HLQKX5,1,1.100L,-25,42.4
6,HLQKX5,1,1.100L,-24,51.2
6,HLQKX5,1,1.100L,-23,56.1
6,HLQKX5,1,1.100L,-22,63.2
6,HLQKX5,1,1.100L,-21,69.4
6,HLQKX5,1,1.100L,-20,76.7
6,HLQKX5,1,1.100L,-19,84.8
6,HLQKX5,1,1.100L,-18,89.3
6,HLQKX5,1,1.100L,-17,96.6
6,HLQKX5,1,1.100L,-16,0.0
6,HLQKX5,1,1.100L,-15,8.6
6,HLQKX5,1,1.100L,-14,13.9
6,HLQKX5,1,1.100L,-13,19.8
6,HLQKX5,1,1.100L,-12,26.8
6,HLQKX5,1,1.100L,-11,34.1
6,HLQKX5,1,1.100L,-10,42.5
6,HLQKX5,1,1.100L,-9,45.6
6,HLQKX5,1,1.100L,-8,54.1
6,HLQKX5,1,1.100L,-7,59.8
6,HLQKX5,1,1.100L,-6,66.6
6,HLQKX5,1,1.100L,-5,75.0
6,HLQKX5,1,1.100L,-4,80.8
6,HLQKX5,1,1.100L,-3,88.5
6,HLQKX5,1,1.100L,-2,92.8
6,HLQKX5,1,1.100L,-1,98.5
6,HLQKX5,1,1.100L,0,5.7
7,MO25A3,1,1.100L,-29,44.9
7,MO25A3,1,1.100L,-28,51.2
7,MO25A3,1,1.100L,-27,61.2
7,MO25A3,1,1.100L,-26,69.6
7,MO25A3,1,1.100L,-25,81.3
7,MO25A3,1,1.100L,-24,88.5
7,MO25A3,1,1.100L,-23,92.6
7,MO25A3,1,1.100L,-22,1.7
7,MO25A3,1,1.100L,-21,8.2
7,MO25A3,1,1.100L,-20,17.7
7,MO25A3,1,1.100L,-19,27.3
7,MO25A3,1,1.100L,-18,36.8
7,MO25A3,1,1.100L,-17,42.2
7,MO25A3,1,1.100L,-16,50.5
7,MO25A3,1,1.100L,-15,56.5
7,MO25A3,1,1.100L,-14,67.7
7,MO25A3,1,1.100L,-13,74.5
7,MO25A3,1,1.100L,-12,83.6
7,MO25A3,1,1.100L,-11,91.3
7,MO25A3,1,1.100L,-10,0.7
7,MO25A3,1,1.100L,-9,6.4
7,MO25A3,1,1.100L,-8,15.0
7,MO25A3,1,1.100L,-7,28.6
7,MO25A3,1,1.100L,-6,31.7
7,MO25A3,1,1.100L,-5,40.3
7,MO25A3,1,1.100L,-4,52.9
7,MO25A3,1,1.100L,-3,62.7
7,MO25A3,1,1.100L,-2,64.8
7,MO25A3,1,1.100L,-1,74.2
7,MO25A3,1,1.100L,0,83.5
8,OVR7LU,1,1.100L,-29,62.0
8,OVR7LU,1,1.100L,-28,72.8
8,OVR7LU,1,1.100L,-27,81.6
8,OVR7LU,1,1.100L,-26,89.7
8,OVR7LU,1,1.100L,-25,99.3
8,OVR7LU,1,1.100L,-24,6.8
8,OVR7LU,1,1.100L,-23,17.8
8,OVR7LU,1,1.100L,-22,27.0
8,OVR7LU,1,1.100L,-21,37.1
8,OVR7LU,1,1.100L,-20,45.2
8,OVR7LU,1,1.100L,-19,56.0
8,OVR7LU,1,1.100L,-18,66.1
8,OVR7LU,1,1.100L,-17,74.2
8,OVR7LU,1,1.100L,-16,83.7
8,OVR7LU,1,1.100L,-15,92.6
8,OVR7LU,1,1.100L,-14,1.8
8,OVR7LU,1,1.100L,-13,10.0
8,OVR7LU,1,1.100L,-12,20.9
8,OVR7LU,1,1.100L,-11,29.6
8,OVR7LU,1,1.100L,-10,42.2
8,OVR7LU,1,1.100L,-9,50.7
8,OVR7LU,1,1.100L,-8,58.2
8,OVR7LU,1,1.100L,-7,65.8
8,OVR7LU,1,1.100L,-6,74.5
8,OVR7LU,1,1.100L,-5,87.3
8,OVR7LU,1,1.100L,-4,95.2
8,OVR7LU,1,1.100L,-3,4.8
8,OVR7LU,1,1.100L,-2,10.8
8,OVR7LU,1,1.100L,-1,24.1
8,OVR7LU,1,1.100L,0,32.7
9,M4FF,1,240L,-29,29.1
9,M4FF,1,240L,-28,37.1
9,M4FF,1,240L,-27,43.7
9,M4FF,1,240L,-26,50.2
9,M4FF,1,240L,-25,57.4
9,M4FF,1,240L,-24,64.1
9,M4FF,1,240L,-23,71.6
9,M4FF,1,240L,-22,80.6
9,M4FF,1,240L,-21,81.4
9,M4FF,1,240L,-20,91.9
9,M4FF,1,240L,-19,99.4
9,M4FF,1,240L,-18,6.5
9,M4FF,1,240L,-17,12.5
9,M4FF,1,240L,-16,17.3
9,M4FF,1,240L,-15,27.4
9,M4FF,1,240L,-14,36.4
9,M4FF,1,240L,-13,38.5
9,M4FF,1,240L,-12,49.0
9,M4FF,1,240L,-11,54.2
9,M4FF,1,240L,-10,61.5
9,M4FF,1,240L,-9,67.0
9,M4FF,1,240L,-8,75.0
9,M4FF,1,240L,-7,84.4
9,M4FF,1,240L,-6,90.2
9,M4FF,1,240L,-5,98.9
9,M4FF,1,240L,-4,5.0
9,M4FF,1,240L,-3,10.8
9,M4FF,1,240L,-2,19.7
9,M4FF,1,240L,-1,24.7
9,M4FF,1,240L,0,32.2
10,MNQ5,1,120L,-29,42.6
10,MNQ5,1,120L,-28,49.7
10,MNQ5,1,120L,-27,51.1
10,MNQ5,1,120L,-26,58.6
10,MNQ5,1,120L,-25,61.8
10,MNQ5,1,120L,-24,68.4
10,MNQ5,1,120L,-23,72.4
10,MNQ5,1,120L,-22,78.6
10,MNQ5,1,120L,-21,81.5
10,MNQ5,1,120L,-20,82.7
10,MNQ5,1,120L,-19,89.5
10,MNQ5,1,120L,-18,92.5
10,MNQ5,1,120L,-17,98.1
10,MNQ5,1,120L,-16,5.7
10,MNQ5,1,120L,-15,9.0
10,MNQ5,1,120L,-14,11.6
10,MNQ5,1,120L,-13,15.7
10,MNQ5,1,120L,-12,21.9
10,MNQ5,1,120L,-11,24.6
10,MNQ5,1,120L,-10,30.0
10,MNQ5,1,120L,-9,36.1
10,MNQ5,1,120L,-8,41.9
10,MNQ5,1,120L,-7,45.7
10,MNQ5,1,120L,-6,46.0
10,MNQ5,1,120L,-5,54.5
10,MNQ5,1,120L,-4,58.7
10,MNQ5,1,120L,-3,63.8
10,MNQ5,1,120L,-2,70.2
10,MNQ5,1,120L,-1,69.3
10,MNQ5,1,120L,0,76.1
11,R2LY,1,120L,-29,63.2
11,R2LY,1,120L,-28,71.2
11,R2LY,1,120L,-27,72.9
11,R2LY,1,120L,-26,76.9
11,R2LY,1,120L,-25,78.2
11,R2LY,1,120L,-24,83.6
11,R2LY,1,120L,-23,87.3
11,R2LY,1,120L,-22,89.4
11,R2LY,1,120L,-21,92.8
11,R2LY,1,120L,-20,96.2
11,R2LY,1,120L,-19,97.9
11,R2LY,1,120L,-18,2.3
11,R2LY,1,120L,-17,5.7
11,R2LY,1,120L,-16,9.8
11,R2LY,1,120L,-15,14.1
11,R2LY,1,120L,-14,14.4
11,R2LY,1,120L,-13,19.1
11,R2LY,1,120L,-12,24.9
11,R2LY,1,120L,-11,24.9
11,R2LY,1,120L,-10,28.2
11,R2LY,1,120L,-9,33.1
11,R2LY,1,120L,-8,37.4
11,R2LY,1,120L,-7,39.5
11,R2LY,1,120L,-6,44.8
11,R2LY,1,120L,-5,47.5
11,R2LY,1,120L,-4,50.8
11,R2LY,1,120L,-3,53.8
11,R2LY,1,120L,-2,59.8
11,R2LY,1,120L,-1,59.3
11,R2LY,1,120L,0,60.0
12,AGGC,1,120L,-29,65.0
12,AGGC,1,120L,-28,71.6
12,AGGC,1,120L,-27,71.9
12,AGGC,1,120L,-26,77.2
12,AGGC,1,120L,-25,81.5
12,AGGC,1,120L,-24,87.5
12,AGGC,1,120L,-23,94.1
12,AGGC,1,120L,-22,99.0
12,AGGC,1,120L,-21,3.4
12,AGGC,1,120L,-20,5.6
12,AGGC,1,120L,-19,9.0
12,AGGC,1,120L,-18,17.3
12,AGGC,1,120L,-17,21.3
12,AGGC,1,120L,-16,27.5
12,AGGC,1,120L,-15,32.6
12,AGGC,1,120L,-14,36.5
12,AGGC,1,120L,-13,42.2
12,AGGC,1,120L,-12,46.2
12,AGGC,1,120L,-11,51.4
12,AGGC,1,120L,-10,54.3
12,AGGC,1,120L,-9,59.8
12,AGGC,1,120L,-8,65.2
12,AGGC,1,120L,-7,70.9
12,AGGC,1,120L,-6,73.8
12,AGGC,1,120L,-5,80.0
12,AGGC,1,120L,-4,83.5
12,AGGC,1,120L,-3,88.5
12,AGGC,1,120L,-2,94.7
12,AGGC,1,120L,-1,95.2
12,AGGC,1,120L,0,1.1
13,3WT5,1,1.100L,-29,63.8
13,3WT5,1,1.100L,-28,73.3
13,3WT5,1,1.100L,-27,82.4
13,3WT5,1,1.100L,-26,87.8
13,3WT5,1,1.100L,-25,95.4
13,3WT5,1,1.100L,-24,3.7
13,3WT5,1,1.100L,-23,11.0
13,3WT5,1,1.100L,-22,15.9
13,3WT5,1,1.100L,-21,25.0
13,3WT5,1,1.100L,-20,30.1
13,3WT5,1,1.100L,-19,35.6
13,3WT5,1,1.100L,-18,42.9
13,3WT5,1,1.100L,-17,48.6
13,3WT5,1,1.100L,-16,56.4
13,3WT5,1,1.100L,-15,64.1
13,3WT5,1,1.100L,-14,72.8
13,3WT5,1,1.100L,-13,81.2
13,3WT5,1,1.100L,-12,83.5
13,3WT5,1,1.100L,-11,93.1
13,3WT5,1,1.100L,-10,97.9
13,3WT5,1,1.100L,-9,7.1
13,3WT5,1,1.100L,-8,13.2
13,3WT5,1,1.100L,-7,17.6
13,3WT5,1,1.100L,-6,28.7
13,3WT5,1,1.100L,-5,33.3
13,3WT5,1,1.100L,-4,40.4
13,3WT5,1,1.100L,-3,46.5
13,3WT5,1,1.100L,-2,54.1
13,3WT5,1,1.100L,-1,62.7
13,3WT5,1,1.100L,0,68.7
14,EXDE,1,1.100L,-29,6.6
14,EXDE,1,1.100L,-28,12.4
14,EXDE,1,1.100L,-27,19.0
14,EXDE,1,1.100L,-26,31.1
14,EXDE,1,1.100L,-25,37.3
14,EXDE,1,1.100L,-24,47.7
14,EXDE,1,1.100L,-23,54.9
14,EXDE,1,1.100L,-22,62.4
14,EXDE,1,1.100L,-21,71.4
14,EXDE,1,1.100L,-20,82.1
14,EXDE,1,1.100L,-19,90.6
14,EXDE,1,1.100L,-18,95.9
14,EXDE,1,1.100L,-17,4.3
14,EXDE,1,1.100L,-16,14.0
14,EXDE,1,1.100L,-15,19.4
14,EXDE,1,1.100L,-14,29.4
14,EXDE,1,1.100L,-13,37.2
14,EXDE,1,1.100L,-12,46.0
14,EXDE,1,1.100L,-11,52.6
14,EXDE,1,1.100L,-10,59.7
14,EXDE,1,1.100L,-9,67.3
14,EXDE,1,1.100L,-8,77.0
14,EXDE,1,1.100L,-7,86.3
14,EXDE,1,1.100L,-6,94.8
14,EXDE,1,1.100L,-5,6.5
14,EXDE,1,1.100L,-4,13.5
14,EXDE,1,1.100L,-3,18.7
14,EXDE,1,1.100L,-2,28.9
14,EXDE,1,1.100L,-1,36.1
14,EXDE,1,1.100L,0,44.6
15,RSUZ,1,120L,-29,71.2
15,RSUZ,1,120L,-28,74.7
15,RSUZ,1,120L,-27,81.7
15,RSUZ,1,120L,-26,83.4
15,RSUZ,1,120L,-25,90.1
15,RSUZ,1,120L,-24,98.9
15,RSUZ,1,120L,-23,100.0
15,RSUZ,1,120L,-22,7.1
15,RSUZ,1,120L,-21,10.0
15,RSUZ,1,120L,-20,15.7
15,RSUZ,1,120L,-19,19.7
15,RSUZ,1,120L,-18,24.5
15,RSUZ,1,120L,-17,28.6
15,RSUZ,1,120L,-16,35.3
15,RSUZ,1,120L,-15,38.4
15,RSUZ,1,120L,-14,45.6
15,RSUZ,1,120L,-13,51.2
15,RSUZ,1,120L,-12,55.1
15,RSUZ,1,120L,-11,59.0
15,RSUZ,1,120L,-10,65.1
15,RSUZ,1,120L,-9,68.9
15,RSUZ,1,120L,-8,75.7
15,RSUZ,1,120L,-7,76.6
15,RSUZ,1,120L,-6,83.8
15,RSUZ,1,120L,-5,86.2
15,RSUZ,1,120L,-4,91.9
15,RSUZ,1,120L,-3,100.0
15,RSUZ,1,120L,-2,5.4
15,RSUZ,1,120L,-1,8.0
15,RSUZ,1,120L,0,11.7
16,ICLYI5,1,120L,-29,34.9
16,ICLYI5,1,120L,-28,36.0
16,ICLYI5,1,120L,-27,38.6
16,ICLYI5,1,120L,-26,44.2
16,ICLYI5,1,120L,-25,45.3
16,ICLYI5,1,120L,-24,51.3
16,ICLYI5,1,120L,-23,56.0
16,ICLYI5,1,120L,-22,59.8
16,ICLYI5,1,120L,-21,65.2
16,ICLYI5,1,120L,-20,68.6
16,ICLYI5,1,120L,-19,73.2
16,ICLYI5,1,120L,-18,75.3
16,ICLYI5,1,120L,-17,81.7
16,ICLYI5,1,120L,-16,86.9
16,ICLYI5,1,120L,-15,87.1
16,ICLYI5,1,120L,-14,91.3
16,ICLYI5,1,120L,-13,98.8
16,ICLYI5,1,120L,-12,0.6
16,ICLYI5,1,120L,-11,7.1
16,ICLYI5,1,120L,-10,8.4
16,ICLYI5,1,120L,-9,15.3
16,ICLYI5,1,120L,-8,17.4
16,ICLYI5,1,120L,-7,21.7
16,ICLYI5,1,120L,-6,27.8
16,ICLYI5,1,120L,-5,29.0
16,ICLYI5,1,120L,-4,32.2
16,ICLYI5,1,120L,-3,37.0
16,ICLYI5,1,120L,-2,42.5
16,ICLYI5,1,120L,-1,43.6
16,ICLYI5,1,120L,0,51.0
17,FZRC,1,120L,-29,68.1
17,FZRC,1,120L,-28,67.2
17,FZRC,1,120L,-27,74.1
17,FZRC,1,120L,-26,77.2
17,FZRC,1,120L,-25,83.0
17,FZRC,1,120L,-24,89.1
17,FZRC,1,120L,-23,92.9
17,FZRC,1,120L,-22,97.3
17,FZRC,1,120L,-21,1.9
17,FZRC,1,120L,-20,6.9
17,FZRC,1,120L,-19,9.5
17,FZRC,1,120L,-18,16.6
17,FZRC,1,120L,-17,21.0
17,FZRC,1,120L,-16,25.0
17,FZRC,1,120L,-15,29.8
17,FZRC,1,120L,-14,33.9
17,FZRC,1,120L,-13,40.9
17,FZRC,1,120L,-12,42.2
17,FZRC,1,120L,-11,46.4
17,FZRC,1,120L,-10,50.2
17,FZRC,1,120L,-9,54.2
17,FZRC,1,120L,-8,58.4
17,FZRC,1,120L,-7,63.4
17,FZRC,1,120L,-6,69.1
17,FZRC,1,120L,-5,74.1
17,FZRC,1,120L,-4,78.2
17,FZRC,1,120L,-3,81.4
17,FZRC,1,120L,-2,88.4
17,FZRC,1,120L,-1,92.6
17,FZRC,1,120L,0,95.8
18,QO42KH,1,120L,-29,1.6
18,QO42KH,1,120L,-28,4.9
18,QO42KH,1,120L,-27,12.8
18,QO42KH,1,120L,-26,19.1
18,QO42KH,1,120L,-25,23.1
18,QO42KH,1,120L,-24,30.5
18,QO42KH,1,120L,-23,33.8
18,QO42KH,1,120L,-22,43.8
18,QO42KH,1,120L,-21,49.4
18,QO42KH,1,120L,-20,53.0
18,QO42KH,1,120L,-19,59.7
18,QO42KH,1,120L,-18,61.3
18,QO42KH,1,120L,-17,69.0
18,QO42KH,1,120L,-16,76.0
18,QO42KH,1,120L,-15,80.7
18,QO42KH,1,120L,-14,89.1
18,QO42KH,1,120L,-13,96.8
18,QO42KH,1,120L,-12,97.8
18,QO42KH,1,120L,-11,4.1
18,QO42KH,1,120L,-10,11.5
18,QO42KH,1,120L,-9,19.4
18,QO42KH,1,120L,-8,20.9
18,QO42KH,1,120L,-7,28.9
18,QO42KH,1,120L,-6,37.0
18,QO42KH,1,120L,-5,37.6
18,QO42KH,1,120L,-4,43.9
18,QO42KH,1,120L,-3,51.0
18,QO42KH,1,120L,-2,56.7
18,QO42KH,1,120L,-1,64.4
18,QO42KH,1,120L,0,69.4
19,L5FA,1,120L,-29,73.7
19,L5FA,1,120L,-28,78.0
19,L5FA,1,120L,-27,86.7
19,L5FA,1,120L,-26,89.8
19,L5FA,1,120L,-25,95.7
19,L5FA,1,120L,-24,3.4
19,L5FA,1,120L,-23,9.7
19,L5FA,1,120L,-22,15.1
19,L5FA,1,120L,-21,17.9
19,L5FA,1,120L,-20,27.1
19,L5FA,1,120L,-19,30.7
19,L5FA,1,120L,-18,38.5
19,L5FA,1,120L,-17,42.0
19,L5FA,1,120L,-16,50.7
19,L5FA,1,120L,-15,54.8
19,L5FA,1,120L,-14,60.0
19,L5FA,1,120L,-13,68.9
19,L5FA,1,120L,-12,74.2
19,L5FA,1,120L,-11,78.8
19,L5FA,1,120L,-10,87.8
19,L5FA,1,120L,-9,90.9
19,L5FA,1,120L,-8,97.6
19,L5FA,1,120L,-7,3.9
19,L5FA,1,120L,-6,8.5
19,L5FA,1,120L,-5,16.0
19,L5FA,1,120L,-4,20.5
19,L5FA,1,120L,-3,26.6
19,L5FA,1,120L,-2,35.2
19,L5FA,1,120L,-1,37.5
19,L5FA,1,120L,0,41.4
20,YMH42D,1,120L,-29,60.1
20,YMH42D,1,120L,-28,61.9
20,YMH42D,1,120L,-27,68.3
20,YMH42D,1,120L,-26,72.4
20,YMH42D,1,120L,-25,76.6
20,YMH42D,1,120L,-24,79.3
20,YMH42D,1,120L,-23,85.9
20,YMH42D,1,120L,-22,89.8
20,YMH42D,1,120L,-21,90.8
20,YMH42D,1,120L,-20,98.2
20,YMH42D,1,120L,-19,4.2
20,YMH42D,1,120L,-18,5.5
20,YMH42D,1,120L,-17,8.7
20,YMH42D,1,120L,-16,13.1
20,YMH42D,1,120L,-15,18.3
20,YMH42D,1,120L,-14,18.8
20,YMH42D,1,120L,-13,25.7
20,YMH42D,1,120L,-12,28.9
20,YMH42D,1,120L,-11,36.3
20,YMH42D,1,120L,-10,37.3
20,YMH42D,1,120L,-9,44.1
20,YMH42D,1,120L,-8,44.0
20,YMH42D,1,120L,-7,50.6
20,YMH42D,1,120L,-6,54.2
20,YMH42D,1,120L,-5,56.5
20,YMH42D,1,120L,-4,62.1
20,YMH42D,1,120L,-3,67.7
20,YMH42D,1,120L,-2,69.4
20,YMH42D,1,120L,-1,71.4
20,YMH42D,1,120L,0,78.0
21,DVRI,1,120L,-29,51.4
21,DVRI,1,120L,-28,56.4
21,DVRI,1,120L,-27,58.6
21,DVRI,1,120L,-26,63.4
21,DVRI,1,120L,-25,71.2
21,DVRI,1,120L,-24,74.3
21,DVRI,1,120L,-23,75.8
21,DVRI,1,120L,-22,85.5
21,DVRI,1,120L,-21,89.3
21,DVRI,1,120L,-20,92.5
21,DVRI,1,120L,-19,96.2
21,DVRI,1,120L,-18,4.0
21,DVRI,1,120L,-17,7.9
21,DVRI,1,120L,-16,15.6
21,DVRI,1,120L,-15,17.3
21,DVRI,1,120L,-14,21.9
21,DVRI,1,120L,-13,25.7
21,DVRI,1,120L,-12,31.8
21,DVRI,1,120L,-11,36.1
21,DVRI,1,120L,-10,41.7
21,DVRI,1,120L,-9,43.6
21,DVRI,1,120L,-8,48.4
21,DVRI,1,120L,-7,52.9
21,DVRI,1,120L,-6,59.5
21,DVRI,1,120L,-5,65.1
21,DVRI,1,120L,-4,66.8
21,DVRI,1,120L,-3,71.5
21,DVRI,1,120L,-2,77.2
21,DVRI,1,120L,-1,81.0
21,DVRI,1,120L,0,87.4
22,Y3UO,1,120L,-29,2.3
22,Y3UO,1,120L,-28,5.9
22,Y3UO,1,120L,-27,13.8
22,Y3UO,1,120L,-26,19.8
22,Y3UO,1,120L,-25,26.7
22,Y3UO,1,120L,-24,34.6
22,Y3UO,1,120L,-23,38.4
22,Y3UO,1,120L,-22,43.1
22,Y3UO,1,120L,-21,50.4
22,Y3UO,1,120L,-20,58.0
22,Y3UO,1,120L,-19,60.8
22,Y3UO,1,120L,-18,66.8
22,Y3UO,1,120L,-17,74.9
