Car,Datetime,Id,Capacity,Address,route_id,fill_level,latitudine,longitudine
SB-25-SOM,2024-10-15 07:10:40+00:00,2F2D,120L,"Strada Florilor 30, Sibiu, Romania",1,68%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 07:11:36+00:00,IRA5,120L,"Strada Florilor 22, Sibiu, Romania",1,28%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 07:11:37+00:00,WKDH,120L,"Strada Florilor 23, Sibiu, Romania",1,47%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 07:13:23+00:00,ZYZM,120L,"Strada Florilor 15, Sibiu, Romania",1,7%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 07:13:33+00:00,ZMUL,120L,"Strada Florilor 18, Sibiu, Romania",1,82%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 07:14:21+00:00,5FWEQY,120L,"Strada Florilor 13, Sibiu, Romania",1,47%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 07:14:33+00:00,4UZG,120L,"Strada Florilor 11, Sibiu, Romania",1,6%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 07:15:11+00:00,B6P3GH,120L,"Strada Florilor 12, Sibiu, Romania",1,50%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 07:15:31+00:00,KGBR,120L,"Strada Florilor 10, Sibiu, Romania",1,68%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 07:15:55+00:00,WAP3,120L,"Strada Florilor 3, Sibiu, Romania",1,9%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 07:17:13+00:00,ISKIQT,120L,"Strada Țiglarilor 67, Sibiu, Romania",1,93%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 07:17:47+00:00,H5JO,120L,"Strada Țiglarilor 52, Sibiu, Romania",1,14%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 07:19:04+00:00,RSVP,120L,"Strada Crizantemelor 7, Sibiu, Romania",1,93%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 07:19:07+00:00,PBLT,120L,"Strada Crizantemelor 8, Sibiu, Romania",1,24%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 07:19:36+00:00,BGLZ,120L,"Strada Crizantemelor 10, Sibiu, Romania",1,35%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 07:19:48+00:00,PKMB,120L,"Strada Crizantemelor 13, Sibiu, Romania",1,3%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 07:20:16+00:00,WUKQ,120L,"Strada Crizantemelor 12, Sibiu, Romania",1,6%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 07:21:00+00:00,QLZATW,120L,"Strada Crizantemelor 16, Sibiu, Romania",1,16%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 07:21:06+00:00,75RA,120L,"Strada Crizantemelor 17, Sibiu, Romania",1,82%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 07:21:09+00:00,75RA,120L,"Strada Crizantemelor 17, Sibiu, Romania",1,68%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 07:21:16+00:00,6OIV,120L,"Strada Crizantemelor 18, Sibiu, Romania",1,43%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 07:21:32+00:00,5KON,120L,"Strada Crizantemelor 19, Sibiu, Romania",1,44%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 07:21:47+00:00,L7GY,120L,"Strada Crizantemelor 21, Sibiu, Romania",1,68%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 07:22:17+00:00,A4FK,120L,"Strada Lăcrămioarelor 8, Sibiu, Romania",1,93%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 07:22:26+00:00,AJ2FQV,120L,"Strada Lăcrămioarelor 10, Sibiu, Romania",1,45%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 07:22:56+00:00,YJTH,120L,"Strada Lăcrămioarelor 14, Sibiu, Romania",1,66%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 07:23:19+00:00,A4NQ,120L,"Strada Lăcrămioarelor 16, Sibiu, Romania",1,3%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 07:23:36+00:00,A4NQ,120L,"Strada Lăcrămioarelor 16, Sibiu, Romania",1,60%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 07:23:50+00:00,AC4W,120L,"Strada Lăcrămioarelor 1, Sibiu, Romania",1,30%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 07:25:05+00:00,PCNHOZ,120L,"Strada Lăcrămioarelor 6, Sibiu, Romania",1,43%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 07:25:33+00:00,A2DB,120L,"Strada Lăcrămioarelor 4, Sibiu, Romania",1,38%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 07:25:49+00:00,7YUI,120L,"Strada Lăcrămioarelor 2, Sibiu, Romania",1,99%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 07:27:02+00:00,PNDB,120L,"Strada Pandurilor 14, Sibiu, Romania",1,93%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 07:27:03+00:00,O6TE,120L,"Strada Pandurilor 13, Sibiu, Romania",1,6%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 07:27:32+00:00,RQJH,120L,"Strada Pandurilor 12, Sibiu, Romania",1,43%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 07:27:52+00:00,BUAP,120L,"Strada Pandurilor 7, Sibiu, Romania",1,71%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 07:27:54+00:00,IRWG,120L,"Strada Pandurilor 10, Sibiu, Romania",1,46%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 07:29:04+00:00,AD3R,120L,"Strada Pandurilor 1, Sibiu, Romania",1,60%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 07:30:52+00:00,BQ6Y,120L,"Strada Țiglarilor 34, Sibiu, Romania",1,41%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 07:31:59+00:00,MNUD,120L,"Strada Țiglarilor 45, Sibiu, Romania",1,22%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 07:32:00+00:00,VWTU,240L,"Strada Țiglarilor 40, Sibiu, Romania",1,79%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 07:33:02+00:00,YVXSD6,120L,"Strada Țiglarilor 51, Sibiu, Romania",1,74%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 07:33:49+00:00,WFCE,120L,"Strada Țiglarilor 44, Sibiu, Romania",1,23%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 07:34:13+00:00,GZKP,120L,"Strada Crizantemelor 2, Sibiu, Romania",1,36%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 07:35:09+00:00,DUYR,120L,"Strada Țiglarilor 60, Sibiu, Romania",1,32%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 07:35:47+00:00,CAHMA5,120L,"Strada Țiglarilor 64, Sibiu, Romania",1,48%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 07:36:33+00:00,CXDWRY,120L,"Strada Țiglarilor 66, Sibiu, Romania",1,52%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 07:36:36+00:00,4BX3,120L,"Strada Țiglarilor 66, Sibiu, Romania",1,89%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 07:37:09+00:00,D5Y7,120L,"Strada Țiglarilor 75, Sibiu, Romania",1,31%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 07:37:11+00:00,B3ZB,120L,"Strada Țiglarilor 70, Sibiu, Romania",1,37%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 07:37:56+00:00,PVRAIY,120L,"Strada Țiglarilor 70, Sibiu, Romania",1,3%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 07:37:58+00:00,PVRAIY,120L,"Strada Țiglarilor 70, Sibiu, Romania",1,99%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 07:38:34+00:00,SGIW,120L,"Strada Țiglarilor 79, Sibiu, Romania",1,100%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 07:38:39+00:00,2L6I,120L,"Strada Țiglarilor 77, Sibiu, Romania",1,85%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 07:39:32+00:00,VIUB,120L,"Strada Țiglarilor 76, Sibiu, Romania",1,4%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 07:39:50+00:00,LIEV,120L,"Strada Țiglarilor 81 A, Sibiu, Romania",1,65%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 07:39:54+00:00,7KUU,120L,"Strada Țiglarilor 76 A, Sibiu, Romania",1,77%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 07:40:18+00:00,YUUH,120L,"Strada Țiglarilor 83, Sibiu, Romania",1,7%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 07:40:20+00:00,MX3D,120L,"Strada Țiglarilor 78, Sibiu, Romania",1,100%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 07:41:07+00:00,TQZ2,120L,"Strada Țiglarilor 83, Sibiu, Romania",1,12%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 07:42:00+00:00,4OBW,120L,"Strada Dulgherilor 7, Sibiu, Romania",1,49%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 07:42:17+00:00,42E3,120L,"Strada Dulgherilor 11, Sibiu, Romania",1,56%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 07:43:38+00:00,EHNR,120L,"Strada Dulgherilor 18, Sibiu, Romania",1,64%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 07:46:45+00:00,6HTD,120L,"Strada Țiglarilor 84, Sibiu, Romania",1,25%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 07:47:23+00:00,6IME,120L,"Strada Țiglarilor 85, Sibiu, Romania",1,40%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 07:48:16+00:00,A2MK,240L,"Strada Țiglarilor 89, Sibiu, Romania",1,0%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 07:48:40+00:00,74ZLG3,120L,"Strada Țiglarilor 92, Sibiu, Romania",1,44%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 07:49:53+00:00,B3FI,120L,"Strada Țiglarilor 95, Sibiu, Romania",1,100%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 07:50:50+00:00,FDSTRJ,120L,"Strada Zidarilor 1, Sibiu, Romania",1,46%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 07:50:56+00:00,H7MM,120L,"Strada Zidarilor 2, Sibiu, Romania",1,62%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 07:51:30+00:00,EUZU,120L,"Strada Zidarilor 7, Sibiu, Romania",1,78%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 07:51:50+00:00,LQS7,120L,"Strada Zidarilor 6, Sibiu, Romania",1,74%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 07:56:08+00:00,QOH2,120L,"Strada Țiglarilor 106, Sibiu, Romania",1,95%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 07:58:43+00:00,7WIN,240L,"Strada Țiglarilor 101, Sibiu, Romania",1,97%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 07:58:46+00:00,LUKAU6,240L,"Strada Țiglarilor 101, Sibiu, Romania",1,98%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 07:59:13+00:00,7VCQ,240L,"Strada Țiglarilor 101, Sibiu, Romania",1,54%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 08:01:02+00:00,FOY2RW,240L,"Strada Țiglarilor 103, Sibiu, Romania",1,96%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 08:01:07+00:00,7T6P,120L,"Strada Țiglarilor 103, Sibiu, Romania",1,18%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 08:01:28+00:00,DL7T,120L,"Strada Țiglarilor 103, Sibiu, Romania",1,2%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 08:01:55+00:00,L4APOF,120L,"Strada Țiglarilor 103, Sibiu, Romania",1,21%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 08:04:16+00:00,7QZLCR,1.100L,"Strada Țiglarilor 103, Sibiu, Romania",1,81%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 08:05:04+00:00,CUGP,120L,"Strada Țiglarilor 108, Sibiu, Romania",1,76%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 08:06:12+00:00,AWBU,120L,"Strada Țiglarilor 110, Sibiu, Romania",1,63%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 08:06:57+00:00,LDNFET,240L,"Strada Țiglarilor 105, Sibiu, Romania",1,63%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 08:07:34+00:00,5CNOGA,120L,"Strada Țiglarilor 116, Sibiu, Romania",1,15%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 08:08:07+00:00,CMJT,120L,"Strada Țiglarilor 118, Sibiu, Romania",1,11%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 08:08:20+00:00,VRJU,120L,"Strada Țiglarilor 120, Sibiu, Romania",1,13%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 08:08:57+00:00,4YA6,120L,"Strada Țiglarilor 122, Sibiu, Romania",1,44%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 08:09:32+00:00,MPB5UZ,120L,"Strada Cuptorului 33 A, Sibiu, Romania",1,13%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 08:10:06+00:00,UJED,240L,"Strada Țiglarilor 128 A, Sibiu, Romania",1,88%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 08:10:38+00:00,7GNE,120L,"Strada Țiglarilor 111, Sibiu, Romania",1,21%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 08:16:37+00:00,7EKJ,120L,"Strada Deventer 7, Sibiu, Romania",1,51%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 08:17:38+00:00,7AS6,120L,"Strada Deventer 15, Sibiu, Romania",1,7%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 08:19:41+00:00,CQS7,120L,"Strada Cuptorului 38, Sibiu, Romania",1,95%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 08:20:25+00:00,OTAV,120L,"Strada Cuptorului 36, Sibiu, Romania",1,100%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 08:21:09+00:00,SBEF,120L,"Strada Cuptorului 34, Sibiu, Romania",1,79%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 08:21:25+00:00,XAI5V2,120L,"Strada Cuptorului 31, Sibiu, Romania",1,4%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 08:21:48+00:00,F6QH,120L,"Strada Cuptorului 30, Sibiu, Romania",1,27%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 08:22:09+00:00,IYZ6,120L,"Strada Cuptorului 29, Sibiu, Romania",1,3%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 08:22:16+00:00,UNYVJN,120L,"Strada Cuptorului 26, Sibiu, Romania",1,89%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 08:23:20+00:00,R6JV,120L,"Strada Cuptorului 25, Sibiu, Romania",1,57%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 08:23:47+00:00,63NT,120L,"Strada Cuptorului 23, Sibiu, Romania",1,39%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 08:23:51+00:00,HQHV6X,120L,"Strada Cuptorului 20, Sibiu, Romania",1,70%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 08:24:30+00:00,73TR,120L,"Strada Cuptorului 19, Sibiu, Romania",1,100%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 08:25:38+00:00,C2ANBH,120L,"Strada Cuptorului 14 B, Sibiu, Romania",1,59%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 08:27:33+00:00,TDTR,120L,"Strada Cuptorului 13, Sibiu, Romania",1,26%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 08:28:06+00:00,E5AO,120L,"Strada Cuptorului 14, Sibiu, Romania",1,2%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 08:29:03+00:00,NL5N,120L,"Strada Cuptorului 1, Sibiu, Romania",1,35%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 08:29:45+00:00,ZJKN,120L,"Strada Cuptorului 3, Sibiu, Romania",1,91%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 08:30:53+00:00,X2CB,120L,"Strada Cuptorului 12, Sibiu, Romania",1,49%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 08:30:56+00:00,JICQOG,120L,"Strada Cuptorului 7 G, Sibiu, Romania",1,6%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 08:31:30+00:00,GPHC,120L,"Strada Cuptorului 10, Sibiu, Romania",1,57%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 08:36:36+00:00,2CB5UZ,1.100L,"Strada Cuptorului 12 B, Sibiu, Romania",1,82%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 08:40:11+00:00,SQK2,120L,"Strada Ulmului 62, Sibiu, Romania",1,99%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 08:40:37+00:00,5IM6RQ,120L,"Strada Ulmului 60, Sibiu, Romania",1,36%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 08:40:58+00:00,EFXC,120L,"Strada Ulmului 56, Sibiu, Romania",1,64%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 08:42:44+00:00,H7KEWX,120L,"Strada Ulmului 35 A, Sibiu, Romania",1,94%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 08:43:00+00:00,AP3D,120L,"Strada Ulmului 50 A, Sibiu, Romania",1,92%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 08:43:50+00:00,AFE3,120L,"Strada Ulmului 50 A, Sibiu, Romania",1,48%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 08:44:37+00:00,IJBU,120L,"Strada Ulmului 46, Sibiu, Romania",1,95%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 08:44:39+00:00,5HUB,120L,"Strada Ulmului 46, Sibiu, Romania",1,24%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 08:45:21+00:00,P7QA,120L,"Strada Ulmului 44, Sibiu, Romania",1,58%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 08:46:02+00:00,G4QPXW,120L,"Strada Ulmului 27, Sibiu, Romania",1,89%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 08:46:14+00:00,WZLA,120L,"Strada Ulmului 40, Sibiu, Romania",1,22%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 08:48:13+00:00,I6E5,120L,"Strada Ulmului 34, Sibiu, Romania",1,74%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 08:48:55+00:00,MCE7DG,120L,"Strada Ulmului 32, Sibiu, Romania",1,19%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 08:49:40+00:00,ORMMLR,120L,"Strada Ulmului 25, Sibiu, Romania",1,65%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 08:50:02+00:00,7TCM,1.100L,"Strada Ulmului 28, Sibiu, Romania",1,13%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 08:54:22+00:00,JBCWEX,120L,"Strada Florilor 12 A, Sibiu, Romania",1,5%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 08:58:13+00:00,W6TD,120L,"Strada Ulmului 1, Sibiu, Romania",1,42%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 08:58:46+00:00,QZOB,120L,"Strada Ulmului 5, Sibiu, Romania",1,0%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 08:58:47+00:00,OC26,120L,"Strada Ulmului 3, Sibiu, Romania",1,23%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 08:59:29+00:00,5SY7,120L,"Strada Ulmului 9, Sibiu, Romania",1,86%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 09:00:00+00:00,H5RK,120L,"Strada Ulmului 15, Sibiu, Romania",1,19%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 09:00:31+00:00,PSMN,120L,"Strada Ulmului 14, Sibiu, Romania",1,66%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 09:01:07+00:00,GI3Z,120L,"Strada Ulmului 18, Sibiu, Romania",1,10%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 09:01:25+00:00,UJ6YSF,120L,"Strada Ulmului 21, Sibiu, Romania",1,17%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 09:01:45+00:00,EGF425,120L,"Strada Record 37, Sibiu, Romania",1,90%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 09:02:29+00:00,6TZH,120L,"Strada Record 26, Sibiu, Romania",1,40%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 09:05:12+00:00,7KJ2,120L,"Strada Lacul lui Binder 4, Sibiu, Romania",1,79%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 09:05:24+00:00,KK4T,120L,"Strada Țiglarilor 101, Sibiu, Romania",1,98%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 09:06:40+00:00,SOROBW,120L,"Strada Lacul lui Binder 5, Sibiu, Romania",1,22%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 09:07:10+00:00,LNWFHI,240L,"Strada Lacul lui Binder FN, Sibiu, Romania",1,11%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 09:09:44+00:00,VNCA,120L,"Strada Lutului 76, Sibiu, Romania",1,98%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 09:09:59+00:00,UJDFJW,120L,"Strada Lutului 74, Sibiu, Romania",1,53%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 09:10:26+00:00,46JF75,120L,"Strada Lutului 60, Sibiu, Romania",1,87%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 09:11:46+00:00,T2X2,120L,"Strada Lutului 58, Sibiu, Romania",1,23%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 09:12:15+00:00,43XG,120L,"Strada Lutului 53, Sibiu, Romania",1,3%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 09:12:41+00:00,VYIT,120L,"Strada Lutului 43 A, Sibiu, Romania",1,76%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 09:12:56+00:00,PIJZ,120L,"Strada Lutului 48, Sibiu, Romania",1,98%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 09:14:01+00:00,B534,120L,"Strada Lutului 40, Sibiu, Romania",1,62%,45.7828241,24.1680621
SB-25-SOM,2024-10-15 09:14:02+00:00,RVU6,120L,"Strada Lutului 35, Sibiu, Romania",1,25%,45.7828241,24.1680621
