Address,lat,lon
"Strada Constantin Noica 10, Sibiu, Romania",45.793052,24.1582045
"Strada Constantin Noica 11, Sibiu, Romania",45.7911545,24.1545368
"Strada Vartopu 6, Sibiu, Romania",45.7930406,24.1573881
"Strada Vartopu 1, Sibiu, Romania",45.7931196,24.1578373
"Strada Constantin Noica 12, Sibiu, Romania",45.7911545,24.1545368
"Strada Constantin Noica 20 A, Sibiu, Romania",45.792954,24.1583762
"Strada Constantin Noica 23, Sibiu, Romania",45.7921438,24.1570456
"Strada Constantin Noica 18, Sibiu, Romania",45.792954,24.1583762
"Strada Constantin Noica 16, Sibiu, Romania",45.792513,24.1570024
"Strada Constantin Noica 20, Sibiu, Romania",45.7921365,24.1559908
"Strada Constantin Noica 25, Sibiu, Romania",45.7916835,24.1563665
"Strada Constantin Noica 22 A, Sibiu, Romania",45.7911545,24.1545368
"Strada Constantin Noica 25 A, Sibiu, Romania",45.791603,24.1560033
"Strada Constantin Noica 29, Sibiu, Romania",45.7911545,24.1545368
"Strada Constantin Noica 26, Sibiu, Romania",45.7916493,24.155193
"Strada Constantin Noica 33 A, Sibiu, Romania",45.792954,24.1583762
"Strada Constantin Noica 33, Sibiu, Romania",45.7912566,24.1555337
"Strada Constantin Noica 33 C, Sibiu, Romania",45.7912566,24.1555337
"Strada Constantin Noica 37, Sibiu, Romania",45.7911865,24.1551256
"Strada Constantin Noica 39, Sibiu, Romania",45.7910336,24.1549391
"Strada Constantin Noica 43, Sibiu, Romania",45.7908163,24.1543192
"Strada Constantin Noica 36, Sibiu, Romania",45.7912766,24.154236
"Strada Constantin Noica 43 A, Sibiu, Romania",45.7911545,24.1545368
"Strada Constantin Noica 45, Sibiu, Romania",45.7906914,24.1540931
"Strada Constantin Noica 47, Sibiu, Romania",45.7906026,24.1539051
"Strada Constantin Noica 42, Sibiu, Romania",45.7908534,24.153346
"Strada Constantin Noica 44 A, Sibiu, Romania",45.7911545,24.1545368
"Strada Constantin Noica 44, Sibiu, Romania",45.7907251,24.1530677
"Strada Revoluției 1, Sibiu, Romania",45.7899776,24.153085
"Strada Constantin Noica 53, Sibiu, Romania",45.7902361,24.1528671
"Strada Constantin Noica 48, Sibiu, Romania",45.7902294,24.1525788
"Strada Berăriei 13, Sibiu, Romania",45.7905882,24.1523761
"Strada Dobrun 10, Sibiu, Romania",45.7906816,24.1521038
"Strada Revoluției 5, Sibiu, Romania",45.789198,24.1557738
"Strada Dobrun 8 A, Sibiu, Romania",45.7906136,24.1519688
"Strada Dobrun 4, Sibiu, Romania",45.7903471,24.1514874
"Strada Constantin Noica 60, Sibiu, Romania",45.7899704,24.1511472
"Strada Piața Unirii 4, Sibiu, Romania",,
"Strada Constantin Noica 54, Sibiu, Romania",45.7901407,24.1516523
"Strada Ștefan cel Mare 3, Sibiu, Romania",45.7900074,24.1535937
"Strada Ștefan cel Mare 3 B, Sibiu, Romania",45.7897168,24.1691578
"Strada Ștefan cel Mare 7, Sibiu, Romania",45.7902093,24.1541273
"Strada Ștefan cel Mare 7 A, Sibiu, Romania",45.7897168,24.1691578
"Strada Ștefan cel Mare 7 C, Sibiu, Romania",45.7902093,24.1541273
"Strada Ștefan cel Mare 7 D, Sibiu, Romania",45.7889859,24.1773226
"Strada Ștefan cel Mare 7 E, Sibiu, Romania",45.7889859,24.1773226
"Strada Ștefan cel Mare 11, Sibiu, Romania",45.7902377,24.1546986
"Strada Ștefan cel Mare 13 A, Sibiu, Romania",45.7889859,24.1773226
"Strada Ștefan cel Mare 15, Sibiu, Romania",45.7903928,24.1551959
"Strada Ștefan cel Mare 17 A, Sibiu, Romania",45.7904315,24.1555818
"Strada Ștefan cel Mare 17 C, Sibiu, Romania",45.7889859,24.1773226
"Strada Ștefan cel Mare 17 B, Sibiu, Romania",45.7893711,24.1744014
"Strada Ștefan cel Mare 21, Sibiu, Romania",45.7905615,24.1561625
"Strada Ștefan cel Mare 25 B, Sibiu, Romania",45.7886132,24.1755164
"Strada Ștefan cel Mare 25 A, Sibiu, Romania",45.7889859,24.1773226
"Strada Ștefan cel Mare 23, Sibiu, Romania",45.7889859,24.1773226
"Strada Ștefan cel Mare 25, Sibiu, Romania",45.7889859,24.1773226
"Strada Ștefan cel Mare 27 A, Sibiu, Romania",45.7886132,24.1755164
"Strada Ștefan cel Mare 4, Sibiu, Romania",46.1525491,24.3348913
"Strada Ștefan cel Mare 4 A, Sibiu, Romania",45.7897168,24.1691578
"Strada Ștefan cel Mare 166, Sibiu, Romania",45.7886132,24.1755164
"Strada Ștefan cel Mare 197, Sibiu, Romania",45.7915249,24.2095096
"Strada Ștefan cel Mare 197 A, Sibiu, Romania",45.7915249,24.2095096
"Strada Ștefan cel Mare 30, Sibiu, Romania",45.789862,24.1620462
"Strada Ștefan cel Mare 154, Sibiu, Romania",45.7886132,24.1755164
"Strada Ștefan cel Mare 156 A, Sibiu, Romania",45.7897168,24.1691578
"Strada Ștefan cel Mare 156, Sibiu, Romania",45.7832502,24.1931793
"Strada Oncesti 10, Sibiu, Romania",45.7818363,24.1687033
"Strada Oncesti 5, Sibiu, Romania",45.7817688,24.1681622
"Strada Oncesti 3, Sibiu, Romania",45.7817165,24.1679773
"Strada Oncesti 1, Sibiu, Romania",45.7816892,24.1677535
"Strada Semaforului 4, Sibiu, Romania",45.7820397,24.1675347
"Strada Semaforului 7, Sibiu, Romania",45.7828241,24.1680621
"Strada Avram Iancu 12 A, Sibiu, Romania",45.7982213,24.1535735
"Strada Avram Iancu 13 A, Sibiu, Romania",45.7982213,24.1535735
"Strada Avram Iancu 13, Sibiu, Romania",45.7984593,24.1534907
"Strada Avram Iancu 10, Sibiu, Romania",45.7978519,24.1535334
"Strada Avram Iancu 9 B, Sibiu, Romania",46.1394949,24.5235343
"Strada Avram Iancu 9 A, Sibiu, Romania",45.7982213,24.1535735
"Strada Avram Iancu 9 C, Sibiu, Romania",45.7984221,24.152784
"Strada Avram Iancu 9, Sibiu, Romania",45.7984221,24.152784
"Strada Avram Iancu 7, Sibiu, Romania",45.7983579,24.152585
"Strada Avram Iancu 8, Sibiu, Romania",45.7977831,24.1532998
"Strada Avram Iancu 5, Sibiu, Romania",45.7980458,24.1526052
"Strada Avram Iancu 6, Sibiu, Romania",45.7976769,24.1529228
"Strada Avram Iancu 1, Sibiu, Romania",45.7977665,24.1521497
"Piața Mare 16, Sibiu, Romania",45.7971993,24.1525212
"Piața Mare 14, Sibiu, Romania",45.7969654,24.1526428
"Strada G-ral Gheorghe Magheru 1, Sibiu, Romania",,
"Strada G-ral Gheorghe Magheru 4, Sibiu, Romania",,
"Strada G-ral Gheorghe Magheru 2, Sibiu, Romania",,
"Piața Mare 10, Sibiu, Romania",45.7960274,24.1527193
"Piata mare 10, Sibiu, Romania",45.7960274,24.1527193
"piața mare 11, Sibiu, Romania",45.7961773,24.1526508
"Piața Mare 9 C, Sibiu, Romania",45.7959664,24.1524966
"Strada Arhivelor 1, Sibiu, Romania",45.7958401,24.152083
"Strada Nicolae Bălcescu 1, Sibiu, Romania",45.7955925,24.1516828
"Strada Nicolae Bălcescu 3, Sibiu, Romania",45.7954586,24.1515189
"Strada Nicolae Bălcescu 5, Sibiu, Romania",45.7953874,24.1513102
"Strada Nicolae Bălcescu 7, Sibiu, Romania",45.7952114,24.1511044
"Strada Nicolae Bălcescu 9, Sibiu, Romania",45.7951865,24.1510352
"Strada Nicolae Bălcescu 6, Sibiu, Romania",45.7952715,24.1503918
"Strada Alexandru Papiu Ilarian 2, Sibiu, Romania",46.1723469,24.3594364
"Strada Nicolae Bălcescu 15, Sibiu, Romania",45.6726042,24.2639281
"Strada Nicolae Bălcescu 14, Sibiu, Romania",45.7946778,24.150133
"Strada Nicolae Bălcescu 17, Sibiu, Romania",45.7943247,24.1508804
"Strada Nicolae Bălcescu 20, Sibiu, Romania",45.7941953,24.1500038
"Strada Nicolae Bălcescu 33, Sibiu, Romania",45.7936139,24.1503365
"Strada Nicolae Bălcescu 28, Sibiu, Romania",45.7939862,24.1494805
"Strada Nicolae Bălcescu 39, Sibiu, Romania",45.7933458,24.1501592
"Strada Nicolae Bălcescu 51, Sibiu, Romania",45.792881,24.1495589
"Strada Nicolae Bălcescu 47 C, Sibiu, Romania",45.793069,24.1496748
"Piața Unirii 10, Sibiu, Romania",45.7923543,24.1478304
"Strada Andrei Șaguna 4, Sibiu, Romania",45.7923372,24.1468001
"Strada Andrei Șaguna 5, Sibiu, Romania",45.7922082,24.1465244
"Strada Andrei Șaguna 7, Sibiu, Romania",45.7923423,24.1462151
"Strada Andrei Șaguna 9 A, Sibiu, Romania",45.7934452,24.1447113
"Strada Andrei Șaguna 9, Sibiu, Romania",45.7925465,24.1459368
"Strada Andrei Șaguna 8, Sibiu, Romania",45.7926532,24.1463
"Strada Andrei Șaguna 17, Sibiu, Romania",45.793051,24.1450239
"Strada Andrei Șaguna 21, Sibiu, Romania",45.8520358,24.1564107
"Strada Andrei Șaguna 23, Sibiu, Romania",45.7932007,24.1444154
"Strada Pacii 12, Sibiu, Romania",46.1592541,24.3532645
"Strada Vasile Aaron 33, Sibiu, Romania",45.7877358,24.1732548
"Strada Iezer 14, Sibiu, Romania",45.787083,24.175065
"Strada Vasile Aaron 29, Sibiu, Romania",45.7875394,24.17287
"Strada Vasile Aaron 18, Sibiu, Romania",45.7850745,24.1685106
"Strada Vasile Aaron 27, Sibiu, Romania",45.7853643,24.1684006
"Strada Giuseppe Garibaldi 16, Sibiu, Romania",45.7858109,24.1677675
"Strada Vasile Aaron 26, Sibiu, Romania",45.787064,24.1729443
"Strada Șoimului 3, Sibiu, Romania",45.8495459,24.1675323
"Strada Vasile Aaron 13 A, Sibiu, Romania",45.7839931,24.165461
"Strada Vasile Aaron 11, Sibiu, Romania",45.7839159,24.1653366
"Strada Vasile Aaron 9, Sibiu, Romania",45.7838379,24.1651916
"Strada Vasile Aaron 7, Sibiu, Romania",45.7837589,24.1650254
"Strada Vasile Aaron 6, Sibiu, Romania",45.7835077,24.1651993
"Strada Vasile Aaron 5, Sibiu, Romania",45.7836383,24.1647926
"Strada Vasile Aaron 2, Sibiu, Romania",45.7833443,24.1649329
"Strada Vasile Aaron 4, Sibiu, Romania",45.7834325,24.1650801
"Strada Ștefan cel Mare 192, Sibiu, Romania",45.7902285,24.2080583
"Strada Vasile Aaron 1, Sibiu, Romania",45.7834641,24.1645976
"Bulevardul G-ral Vasile Milea 35, Sibiu, Romania",,
"Strada Fabricii 8, Sibiu, Romania",45.7956517,24.1625091
"Strada Serbota 23, Sibiu, Romania",45.7944515,24.1637447
"Piața 1 Decembrie 1918 1, Sibiu, Romania",46.1362032,24.5208534
"Strada Uzinei 3, Sibiu, Romania",45.7968516,24.159953
"Strada Uzinei 9, Sibiu, Romania",45.7968516,24.159953
"Strada G-ral Gheorghe Magheru 55, Sibiu, Romania",,
"Strada Autogarii 5, Sibiu, Romania",45.797109,24.1314536
"Strada Regele Ferdinand 6, Sibiu, Romania",45.8016691,24.1582754
"Strada Abatorului 2, Sibiu, Romania",45.8031739,24.1520779
"Strada Abatorului 4, Sibiu, Romania",45.8027792,24.15677
"Strada Semaforului 15, Sibiu, Romania",45.785753,24.1735597
"Calea Șurii Mari 39 B, Sibiu, Romania",45.8192302,24.1503389
"Calea Șurii Mari 39, Sibiu, Romania",45.8178085,24.1499486
"Strada Căprioarelor 1, Sibiu, Romania",45.8121642,24.152863
"Strada Lungă 71, Sibiu, Romania",45.8100736,24.1471531
"Strada Țiglarilor 10, Sibiu, Romania",45.8073619,24.1440611
"Strada Țiglarilor 12, Sibiu, Romania",45.8073876,24.1438281
"Strada Țiglarilor 20, Sibiu, Romania",45.807686,24.1433945
"Strada Țiglarilor 24, Sibiu, Romania",45.8078161,24.1431366
"Strada Țiglarilor 28, Sibiu, Romania",45.8078785,24.1428182
"Strada Eschile 3, Sibiu, Romania",45.8081839,24.142829
"Strada Eschile 6, Sibiu, Romania",45.8088516,24.1435086
"Strada Eschile 12, Sibiu, Romania",45.8085451,24.1433501
"Strada Eschile 15, Sibiu, Romania",45.8087329,24.1432963
"Strada Eschile 17, Sibiu, Romania",45.8088368,24.1434172
"Strada Eschile 22, Sibiu, Romania",45.8091914,24.1439107
"Strada Eschile 25, Sibiu, Romania",45.8093947,24.1438057
"Strada Pandurilor 15, Sibiu, Romania",45.8091053,24.1426427
"Strada Eschile 31, Sibiu, Romania",45.8097612,24.1439228
"Strada Eschile 33, Sibiu, Romania",45.8098273,24.1439434
"Strada Eschile 37, Sibiu, Romania",45.8100095,24.1440018
"Strada Eschile 39, Sibiu, Romania",45.8101055,24.1440475
"Strada Eschile 41, Sibiu, Romania",45.8102105,24.1440864
"Strada Eschile 43, Sibiu, Romania",45.8103094,24.144111
"Strada Eschile 36, Sibiu, Romania",45.8104409,24.1443598
"Strada Eschile 49, Sibiu, Romania",45.8106337,24.1442284
"Strada Eschile 40, Sibiu, Romania",45.8106282,24.1444285
"Strada Traian Demetrescu 142, Sibiu, Romania",45.8081751,24.1377637
"Strada Florilor 38, Sibiu, Romania",45.8112625,24.1435165
"Strada Florilor 36 A, Sibiu, Romania",45.8112005,24.1434158
"Strada Florilor 30, Sibiu, Romania",45.8109268,24.1428495
"Strada Florilor 22, Sibiu, Romania",45.8105809,24.1421494
"Strada Florilor 23, Sibiu, Romania",45.8106635,24.1420136
"Strada Florilor 15, Sibiu, Romania",45.8104649,24.1416174
"Strada Florilor 18, Sibiu, Romania",45.8104351,24.1418748
"Strada Florilor 13, Sibiu, Romania",45.8104067,24.1415056
"Strada Florilor 11, Sibiu, Romania",45.8103683,24.1413964
"Strada Florilor 12, Sibiu, Romania",45.810137,24.1413026
"Strada Florilor 10, Sibiu, Romania",45.8100995,24.1411862
"Strada Florilor 3, Sibiu, Romania",45.8100579,24.1407869
"Strada Țiglarilor 67, Sibiu, Romania",45.8070514,24.1438063
"Strada Țiglarilor 52, Sibiu, Romania",45.80939,24.1410512
"Strada Crizantemelor 7, Sibiu, Romania",45.8339164,24.0484125
"Strada Crizantemelor 8, Sibiu, Romania",45.8096089,24.142092
"Strada Crizantemelor 10, Sibiu, Romania",45.8096089,24.142092
"Strada Crizantemelor 13, Sibiu, Romania",45.8096089,24.142092
"Strada Crizantemelor 12, Sibiu, Romania",45.8096089,24.142092
"Strada Crizantemelor 16, Sibiu, Romania",45.8096089,24.142092
"Strada Crizantemelor 17, Sibiu, Romania",45.8096089,24.142092
"Strada Crizantemelor 18, Sibiu, Romania",45.8096089,24.142092
"Strada Crizantemelor 19, Sibiu, Romania",45.8096089,24.142092
"Strada Crizantemelor 21, Sibiu, Romania",45.8096089,24.142092
"Strada Lăcrămioarelor 8, Sibiu, Romania",45.810028,24.1430966
"Strada Lăcrămioarelor 10, Sibiu, Romania",45.810028,24.1430966
"Strada Lăcrămioarelor 14, Sibiu, Romania",45.810028,24.1430966
"Strada Lăcrămioarelor 16, Sibiu, Romania",45.810028,24.1430966
"Strada Lăcrămioarelor 1, Sibiu, Romania",45.810028,24.1430966
"Strada Lăcrămioarelor 6, Sibiu, Romania",45.810028,24.1430966
"Strada Lăcrămioarelor 4, Sibiu, Romania",45.810028,24.1430966
"Strada Lăcrămioarelor 2, Sibiu, Romania",45.810028,24.1430966
"Strada Pandurilor 14, Sibiu, Romania",45.8091053,24.1426427
"Strada Pandurilor 13, Sibiu, Romania",45.8091053,24.1426427
"Strada Pandurilor 12, Sibiu, Romania",45.8091053,24.1426427
"Strada Pandurilor 7, Sibiu, Romania",45.8091053,24.1426427
"Strada Pandurilor 10, Sibiu, Romania",45.8091053,24.1426427
"Strada Pandurilor 1, Sibiu, Romania",45.8091053,24.1426427
"Strada Țiglarilor 34, Sibiu, Romania",45.8070514,24.1438063
"Strada Țiglarilor 45, Sibiu, Romania",45.8084611,24.1418251
"Strada Țiglarilor 40, Sibiu, Romania",45.8086562,24.1422639
"Strada Țiglarilor 51, Sibiu, Romania",45.8086207,24.141504
"Strada Țiglarilor 44, Sibiu, Romania",45.8090102,24.1417502
"Strada Crizantemelor 2, Sibiu, Romania",45.8336069,24.0478157
"Strada Țiglarilor 60, Sibiu, Romania",45.8070514,24.1438063
"Strada Țiglarilor 64, Sibiu, Romania",45.8070514,24.1438063
"Strada Țiglarilor 66, Sibiu, Romania",45.8070514,24.1438063
"Strada Țiglarilor 75, Sibiu, Romania",45.8101675,24.1391104
"Strada Țiglarilor 70, Sibiu, Romania",45.8124664,24.1358213
"Strada Țiglarilor 79, Sibiu, Romania",45.8070514,24.1438063
"Strada Țiglarilor 77, Sibiu, Romania",45.8070514,24.1438063
"Strada Țiglarilor 76, Sibiu, Romania",45.8070514,24.1438063
"Strada Țiglarilor 81 A, Sibiu, Romania",45.8070514,24.1438063
"Strada Țiglarilor 76 A, Sibiu, Romania",45.8070514,24.1438063
"Strada Țiglarilor 83, Sibiu, Romania",45.8070514,24.1438063
"Strada Țiglarilor 78, Sibiu, Romania",45.8071688,24.1438824
"Strada Dulgherilor 7, Sibiu, Romania",45.8101392,24.1372616
"Strada Dulgherilor 11, Sibiu, Romania",45.8099773,24.1370218
"Strada Dulgherilor 18, Sibiu, Romania",45.8098039,24.1360985
"Strada Țiglarilor 84, Sibiu, Romania",45.8070514,24.1438063
"Strada Țiglarilor 85, Sibiu, Romania",45.8124664,24.1358213
"Strada Țiglarilor 89, Sibiu, Romania",45.8070514,24.1438063
"Strada Țiglarilor 92, Sibiu, Romania",45.8070514,24.1438063
"Strada Țiglarilor 95, Sibiu, Romania",45.8070514,24.1438063
"Strada Zidarilor 1, Sibiu, Romania",45.8105793,24.1357326
"Strada Zidarilor 2, Sibiu, Romania",45.8105793,24.1357326
"Strada Zidarilor 7, Sibiu, Romania",45.8105793,24.1357326
"Strada Zidarilor 6, Sibiu, Romania",45.8105793,24.1357326
"Strada Țiglarilor 106, Sibiu, Romania",45.8070514,24.1438063
"Strada Țiglarilor 101, Sibiu, Romania",45.811786,24.1340213
"Strada Țiglarilor 103, Sibiu, Romania",45.8125387,24.1332865
"Strada Țiglarilor 108, Sibiu, Romania",45.8124664,24.1358213
"Strada Țiglarilor 110, Sibiu, Romania",45.812866,24.1331458
"Strada Țiglarilor 105, Sibiu, Romania",45.8127266,24.1329041
"Strada Țiglarilor 116, Sibiu, Romania",45.8070514,24.1438063
"Strada Țiglarilor 118, Sibiu, Romania",45.8071688,24.1438824
"Strada Țiglarilor 120, Sibiu, Romania",45.8070514,24.1438063
"Strada Țiglarilor 122, Sibiu, Romania",45.8132114,24.1322923
"Strada Cuptorului 33 A, Sibiu, Romania",45.8132504,24.1334732
"Strada Țiglarilor 128 A, Sibiu, Romania",45.813346,24.1319651
"Strada Țiglarilor 111, Sibiu, Romania",45.8124664,24.1358213
"Strada Deventer 7, Sibiu, Romania",45.8145043,24.1288007
"Strada Deventer 15, Sibiu, Romania",45.8145043,24.1288007
"Strada Cuptorului 38, Sibiu, Romania",45.8132504,24.1334732
"Strada Cuptorului 36, Sibiu, Romania",45.8132504,24.1334732
"Strada Cuptorului 34, Sibiu, Romania",45.8132504,24.1334732
"Strada Cuptorului 31, Sibiu, Romania",45.8132504,24.1334732
"Strada Cuptorului 30, Sibiu, Romania",45.8132504,24.1334732
"Strada Cuptorului 29, Sibiu, Romania",45.8132504,24.1334732
"Strada Cuptorului 26, Sibiu, Romania",45.8132504,24.1334732
"Strada Cuptorului 25, Sibiu, Romania",45.8132504,24.1334732
"Strada Cuptorului 23, Sibiu, Romania",45.8132504,24.1334732
"Strada Cuptorului 20, Sibiu, Romania",45.8132504,24.1334732
"Strada Cuptorului 19, Sibiu, Romania",45.8132504,24.1334732
"Strada Cuptorului 14 B, Sibiu, Romania",45.8132504,24.1334732
"Strada Cuptorului 13, Sibiu, Romania",45.8132504,24.1334732
"Strada Cuptorului 14, Sibiu, Romania",45.8132504,24.1334732
"Strada Cuptorului 1, Sibiu, Romania",45.8132504,24.1334732
"Strada Cuptorului 3, Sibiu, Romania",45.8132504,24.1334732
"Strada Cuptorului 12, Sibiu, Romania",45.8132504,24.1334732
"Strada Cuptorului 7 G, Sibiu, Romania",45.8132504,24.1334732
"Strada Cuptorului 10, Sibiu, Romania",45.8132504,24.1334732
"Strada Cuptorului 12 B, Sibiu, Romania",45.8132504,24.1334732
"Strada Ulmului 62, Sibiu, Romania",45.8144345,24.1376626
"Strada Ulmului 60, Sibiu, Romania",45.8146802,24.1378424
"Strada Ulmului 56, Sibiu, Romania",45.8149118,24.1379953
"Strada Ulmului 35 A, Sibiu, Romania",45.8130117,24.1414418
"Strada Ulmului 50 A, Sibiu, Romania",45.8130117,24.1414418
"Strada Ulmului 46, Sibiu, Romania",46.1568593,24.3656053
"Strada Ulmului 44, Sibiu, Romania",45.8148149,24.1392061
"Strada Ulmului 27, Sibiu, Romania",45.8144628,24.1394542
"Strada Ulmului 40, Sibiu, Romania",45.8146763,24.139438
"Strada Ulmului 34, Sibiu, Romania",45.8142635,24.140086
"Strada Ulmului 32, Sibiu, Romania",45.8141836,24.1402501
"Strada Ulmului 25, Sibiu, Romania",46.1584889,24.3649465
"Strada Ulmului 28, Sibiu, Romania",45.8136227,24.140912
"Strada Florilor 12 A, Sibiu, Romania",45.8101778,24.1414081
"Strada Ulmului 1, Sibiu, Romania",45.8119796,24.1427514
"Strada Ulmului 5, Sibiu, Romania",45.8121507,24.1425495
"Strada Ulmului 3, Sibiu, Romania",45.812059,24.142647
"Strada Ulmului 9, Sibiu, Romania",45.8122934,24.1423685
"Strada Ulmului 15, Sibiu, Romania",45.8124945,24.1420834
"Strada Ulmului 14, Sibiu, Romania",45.8126944,24.1421725
"Strada Ulmului 18, Sibiu, Romania",45.8128277,24.1419993
"Strada Ulmului 21, Sibiu, Romania",45.8127923,24.141726
"Strada Record 37, Sibiu, Romania",45.8129989,24.1412842
