uid,Id,simulated_fill_level,previous_day_level,growth_rate,predicted_fill_level,Capacity,threshold,Address
78,CAHMA5,92.0,87.13689202928782,4.8631079707121785,97.60249463166758,120L,85,"Strada Țiglarilor 64, Sibiu, Romania"
81,D5Y7,89.0,84.36889375495534,4.631106245044663,94.38475847243072,120L,85,"Strada Țiglarilor 75, Sibiu, Romania"
86,2L6I,99.0,94.37788612718462,4.622113872815376,100.0,120L,85,"Strada Țiglarilor 77, Sibiu, Romania"
88,LIEV,94.0,89.5116415015613,4.4883584984387,99.3897991892492,120L,85,"Strada Țiglarilor 81 A, Sibiu, Romania"
93,4OBW,86.0,78.55734392438978,7.442656075610216,93.22427226984604,120L,85,"Strada Dulgherilor 7, Sibiu, Romania"
96,6HTD,84.0,81.6162894200941,2.3837105799058946,87.76413072205787,120L,85,"Strada Țiglarilor 84, Sibiu, Romania"
98,A2MK,81.0,72.99038254767852,8.009617452321478,88.50597335976911,240L,80,"Strada Țiglarilor 89, Sibiu, Romania"
102,H7MM,88.0,85.23078308656004,2.769216913439962,92.10593221625285,120L,85,"Strada Zidarilor 2, Sibiu, Romania"
109,FOY2RW,88.0,83.06059747081727,4.939402529182729,93.57284157573804,240L,80,"Strada Țiglarilor 103, Sibiu, Romania"
112,L4APOF,87.0,80.58369815864717,6.416301841352833,93.55082702975105,120L,85,"Strada Țiglarilor 103, Sibiu, Romania"
115,AWBU,87.0,82.15093526635005,4.8490647336499535,92.49147304401606,120L,85,"Strada Țiglarilor 110, Sibiu, Romania"
135,HQHV6X,87.0,80.75621741385564,6.243782586144363,93.43421483385364,120L,85,"Strada Cuptorului 20, Sibiu, Romania"
137,C2ANBH,98.0,90.95668997709888,7.0433100229011245,100.0,120L,85,"Strada Cuptorului 14 B, Sibiu, Romania"
139,E5AO,85.0,82.41269756520444,2.5873024347955607,88.92205189446881,120L,85,"Strada Cuptorului 14, Sibiu, Romania"
140,NL5N,90.0,84.05978786431959,5.940212135680412,96.28993779378257,120L,85,"Strada Cuptorului 1, Sibiu, Romania"
143,JICQOG,98.0,90.87468914566763,7.125310854332369,100.0,120L,85,"Strada Cuptorului 7 G, Sibiu, Romania"
144,GPHC,100.0,97.90369197472302,2.096308025276983,100.0,120L,85,"Strada Cuptorului 10, Sibiu, Romania"
150,AP3D,89.0,87.95606649587975,1.0439335041202469,91.960054691528,120L,85,"Strada Ulmului 50 A, Sibiu, Romania"
156,WZLA,89.0,82.96466798346313,6.03533201653687,95.33392701916225,120L,85,"Strada Ulmului 40, Sibiu, Romania"
161,JBCWEX,95.0,89.40795402497822,5.592045975021776,100.0,120L,85,"Strada Florilor 12 A, Sibiu, Romania"
163,QZOB,95.0,93.5784772311262,1.4215227688737997,98.33711643987857,120L,85,"Strada Ulmului 5, Sibiu, Romania"
165,5SY7,93.0,90.69277431936952,2.3072256806304807,96.89518435974861,120L,85,"Strada Ulmului 9, Sibiu, Romania"
166,H5RK,100.0,93.95073561147693,6.049264388523071,100.0,120L,85,"Strada Ulmului 15, Sibiu, Romania"
176,UJDFJW,85.0,80.381760700058,4.6182392999420045,90.29483783240673,120L,85,"Strada Lutului 74, Sibiu, Romania"
187,FN4Z,83.0,76.37428964051324,6.62571035948676,89.61115066147985,120L,85,"Strada Lutului 29, Sibiu, Romania"
191,XFJB4O,91.0,86.56528130266375,4.434718697336251,96.29262450393529,120L,85,"Strada Lutului 17, Sibiu, Romania"
192,NDM7,88.0,83.96965640665742,4.030343593342579,92.95837475242385,120L,85,"Strada Lutului 14, Sibiu, Romania"
194,YANR,96.0,89.17351499194923,6.826485008050767,100.0,120L,85,"Strada Sperantei 5, Sibiu, Romania"
206,R7PR,96.0,92.77599344630656,3.2240065536934424,100.0,120L,85,"Strada Carpaților 31, Sibiu, Romania"
213,K2PH,95.0,90.73078780025502,4.269212199744985,100.0,120L,85,"Strada Țiglarilor 21, Sibiu, Romania"
214,X5VJW2,87.0,84.08135077411174,2.9186492258882595,91.18663323884493,120L,85,"Strada Țiglarilor 25, Sibiu, Romania"
223,6CJM,100.0,98.30343571806365,1.6965642819363467,100.0,120L,85,"Strada Lungă 35 C, Sibiu, Romania"
229,6WVIGL,91.0,83.6718503130209,7.328149686979103,98.24840237332222,120L,85,"Strada Lungă 35, Sibiu, Romania"
231,FTXO,86.0,79.13129986055918,6.8687001394408185,92.8363140562299,120L,85,"Strada Lungă 31, Sibiu, Romania"
232,2MCS,100.0,94.83324334722923,5.166756652770772,100.0,120L,85,"Strada Lungă 29, Sibiu, Romania"
233,3AFF,95.0,87.9479593235556,7.052040676444406,100.0,120L,85,"Strada Lungă 17 A, Sibiu, Romania"
234,IQXF,96.0,87.2026556628984,8.797344337101606,100.0,1.100L,70,"Strada Lungă 9, Sibiu, Romania"
240,RSK3LI,89.0,84.23552002705232,4.764479972947683,94.47491074712607,120L,85,"Ion Luca Caragiale 8, Sibiu, Romania"
252,4YZE4J,97.0,91.97902437170664,5.020975628293357,100.0,120L,85,"Strada Lungă 10, Sibiu, Romania"
254,ITS2,85.0,81.09710059038814,3.9028994096118623,89.81131293355642,120L,85,"Strada Lungă 22, Sibiu, Romania"
257,6ZGKYZ,96.0,87.09298184347632,8.907018156523677,100.0,240L,80,"Strada Lungă 26, Sibiu, Romania"
262,6RCW,92.0,88.77513109823252,3.224868901767479,96.49514777346496,120L,85,"Strada General Bălan 40, Sibiu, Romania"
268,6732,89.0,83.13832689007371,5.861673109926286,95.21654449039738,120L,85,"Strada General Bălan 34, Sibiu, Romania"
272,5R2U,95.0,89.86392043853921,5.1360795614607895,100.0,120L,85,"Strada General Bălan 27, Sibiu, Romania"
278,NNJ2KY,81.0,75.37652826117892,5.623471738821081,86.89308851948729,120L,85,"Strada General Bălan 18, Sibiu, Romania"
281,EXNZ,91.0,86.46429036038673,4.535709639613273,96.36088804663629,120L,85,"Strada General Bălan 12, Sibiu, Romania"
283,HW34,88.0,83.11770854593198,4.8822914540680244,93.53423807103857,120L,85,"Strada General Bălan 5, Sibiu, Romania"
287,KY4M,93.0,88.59447311033877,4.405526889661232,98.3135043689764,120L,85,"Strada Honterus 6, Sibiu, Romania"
289,H7AM,98.0,92.73029544401486,5.269704555985143,100.0,120L,85,"Strada Honterus 13, Sibiu, Romania"
292,6QMX,89.0,84.32815969205534,4.671840307944663,94.41229214405973,120L,85,"Strada Honterus 33, Sibiu, Romania"
302,6RFTUR,98.0,92.34474193560085,5.655258064399149,100.0,120L,85,"Strada Democrației 19, Sibiu, Romania"
316,OCKI,83.0,77.69215938736232,5.307840612637676,88.72035337104916,120L,85,"Strada Simion Bărnuțiu 41, Sibiu, Romania"
317,2BCN5D,98.0,93.24454619087733,4.75545380912267,100.0,120L,85,"Strada Simion Bărnuțiu 38, Sibiu, Romania"
318,PJW7,88.0,83.91185781516309,4.0881421848369115,92.99744297507405,120L,85,"Strada Simion Bărnuțiu 33, Sibiu, Romania"
319,J2FI,98.0,94.80097048015634,3.1990295198436627,100.0,120L,85,"Strada Simion Bărnuțiu 31, Sibiu, Romania"
321,KFY4DZ,92.0,90.4950065962699,1.5049934037300972,95.33261980953466,120L,85,"Strada Viorelelor 26, Sibiu, Romania"
323,GJZX,81.0,77.17690853063662,3.8230914693633764,85.6761443794368,120L,85,"Strada Simion Bărnuțiu 28, Sibiu, Romania"
330,F3G5,99.0,92.3666854815108,6.6333145184892,100.0,120L,85,"Strada Simion Bărnuțiu 2 A, Sibiu, Romania"
346,FDHV,85.0,82.34761048228927,2.6523895177107306,88.96604668017619,240L,80,"Strada Victor Hugo 9, Sibiu, Romania"
355,GA42ZD,97.0,91.910362007199,5.089637992801002,100.0,240L,80,"Strada Ștefan cel Mare 193, Sibiu, Romania"
358,VNTZOL,96.0,87.77860391064661,8.22139608935339,100.0,1.100L,70,"Strada Ștefan cel Mare 152, Sibiu, Romania"
361,GPB5EF,96.0,90.06864479613064,5.931355203869359,100.0,240L,80,"Strada Ștefan cel Mare 193, Sibiu, Romania"
372,EA3A,91.0,84.03471617043387,6.965283829566133,98.0031278131116,120L,85,"Strada Ștefan cel Mare 147, Sibiu, Romania"
374,XKR4,92.0,85.79743969724161,6.2025603027583855,98.50788039600477,120L,85,"Strada Ștefan cel Mare 137 B, Sibiu, Romania"
377,TXASO3,98.0,93.57907063397556,4.420929366024438,100.0,120L,85,"Strada Ștefan cel Mare 125, Sibiu, Romania"
380,F7J4,92.0,89.97373573288064,2.026264267119359,95.6849662184251,120L,85,"Strada Ștefan cel Mare 126 A, Sibiu, Romania"
383,GODE,94.0,87.78139909535307,6.218600904646934,100.0,120L,85,"Strada Pacii 4, Sibiu, Romania"
384,F64N,98.0,94.29764162613193,3.7023583738680657,100.0,120L,85,"Strada Ștefan cel Mare 137, Sibiu, Romania"
386,54YS,96.0,95.01067160744779,0.9893283925522098,99.06528599729853,120L,85,"Strada Ștefan cel Mare 1, Sibiu, Romania"
388,F376,84.0,82.44929064838469,1.5507093516153105,87.20107413861263,120L,85,"Strada Rampa Ștefan cel Mare 8, Sibiu, Romania"
390,3SWQ2K,86.0,81.56942670406501,4.430573295934991,91.18829323238592,120L,85,"Strada Semaforului 2, Sibiu, Romania"
395,GQCD,94.0,86.33084489757988,7.66915510242012,100.0,120L,85,"Strada Ștefan cel Mare 99, Sibiu, Romania"
403,5NWM,85.0,77.89534775514872,7.10465224485128,91.97549703223476,120L,85,"Strada Ștefan cel Mare 59, Sibiu, Romania"
408,K6XJ,89.0,83.51499531811322,5.485004681886778,94.96194025815771,120L,85,"Strada Diaconul Coresi 3, Sibiu, Romania"
415,XI3J,92.0,86.09316964892898,5.906830351071022,98.30798549721666,120L,85,"Strada Balea 11, Sibiu, Romania"
418,PZWGRR,98.0,95.09165762358063,2.9083423764193697,100.0,120L,85,"Strada Balea 3, Sibiu, Romania"
434,QMRW,86.0,81.60036300555876,4.399636994441238,91.16738223293967,240L,80,"Strada Constantin Noica 20 A, Sibiu, Romania"
436,7VIZ,91.0,85.88763690059866,5.112363099401335,96.75066961702657,120L,85,"Strada Constantin Noica 18, Sibiu, Romania"
437,D7IW,97.0,94.08303657803854,2.916963421961455,100.0,120L,85,"Strada Constantin Noica 16, Sibiu, Romania"
440,X6RI,86.0,80.75555751576489,5.244442484235108,91.7384177567831,240L,80,"Strada Constantin Noica 20, Sibiu, Romania"
442,Q3R2,85.0,76.97975152909022,8.020248470909777,92.59438265370949,120L,85,"Strada Constantin Noica 25, Sibiu, Romania"
451,KOT4,85.0,82.87457546184181,2.1254245381581853,88.60985140590148,120L,85,"Strada Constantin Noica 33 C, Sibiu, Romania"
459,T7XK,100.0,93.57105615566287,6.428943844337127,100.0,120L,85,"Strada Constantin Noica 42, Sibiu, Romania"
460,NAV7,96.0,92.92595899551574,3.0740410044842577,100.0,120L,85,"Strada Constantin Noica 44 A, Sibiu, Romania"
467,L7HU,95.0,92.72618722443377,2.2738127755662276,98.91321102770712,120L,85,"Strada Revoluției 5, Sibiu, Romania"
468,I5QG,93.0,90.37070415420766,2.629295845792342,97.11288359075434,120L,85,"Strada Dobrun 8 A, Sibiu, Romania"
470,D3OBAA,98.0,91.43636935838953,6.563630641610473,100.0,240L,80,"Strada Constantin Noica 60, Sibiu, Romania"
481,G5QV,91.0,86.09534152503367,4.904658474966325,96.61027431840239,120L,85,"Strada Ștefan cel Mare 7 A, Sibiu, Romania"
484,G2MC,89.0,83.99291586740308,5.0070841325969155,94.63889594261255,120L,85,"Strada Ștefan cel Mare 7 E, Sibiu, Romania"
485,6W7P,100.0,95.79746781389342,4.2025321861065805,100.0,120L,85,"Strada Ștefan cel Mare 11, Sibiu, Romania"
486,FYQD,89.0,87.83554027942331,1.1644597205766871,92.04152285429748,120L,85,"Strada Ștefan cel Mare 13 A, Sibiu, Romania"
495,FT7Y,95.0,91.4582323364192,3.5417676635807993,99.77026900428808,120L,85,"Strada Ștefan cel Mare 25 A, Sibiu, Romania"
497,NZQI,88.0,84.23419134331209,3.765808656687909,92.77956572720748,120L,85,"Strada Ștefan cel Mare 25, Sibiu, Romania"
505,INLF2G,92.0,86.58528183328171,5.414718166718288,97.9753485264861,240L,80,"Strada Ștefan cel Mare 166, Sibiu, Romania"
511,NMLTD3,100.0,94.17936722846443,5.820632771535571,100.0,120L,85,"Strada Ștefan cel Mare 30, Sibiu, Romania"
512,G5FQOZ,85.0,81.19798215697568,3.8020178430243163,89.74312332196132,120L,85,"Strada Ștefan cel Mare 154, Sibiu, Romania"
515,7KPVEF,77.0,68.42767290415446,8.572327095845537,84.80510639277304,1.100L,70,"Strada Ștefan cel Mare 156 A, Sibiu, Romania"
516,2XBH6X,91.0,80.84285958065668,10.157140419343321,100.0,1.100L,70,"Strada Ștefan cel Mare 156 A, Sibiu, Romania"
517,KAN4FM,68.0,61.374486897241255,6.625513102758745,74.3064296076833,1.100L,70,"Strada Ștefan cel Mare 156 A, Sibiu, Romania"
519,OTBUCR,93.0,84.40219114888399,8.597808851116014,100.0,1.100L,70,"Strada Ștefan cel Mare 156, Sibiu, Romania"
521,E7LF5S,68.0,59.34918720981393,8.650812790186073,75.67540516705395,1.100L,70,"Strada Ștefan cel Mare 156, Sibiu, Romania"
524,6OLS,89.0,83.53448954566475,5.465510454335245,94.94876338303524,120L,85,"Strada Oncesti 3, Sibiu, Romania"
525,RYBY,89.0,85.32778586084144,3.672214139158555,93.73660755176425,120L,85,"Strada Oncesti 1, Sibiu, Romania"
527,LGKG,84.0,80.34415000204858,3.655849997951421,88.62401717848078,120L,85,"Strada Semaforului 4, Sibiu, Romania"
529,OWQY,99.0,93.77162704557996,5.228372954420038,100.0,120L,85,"Strada Avram Iancu 12 A, Sibiu, Romania"
531,OYZ4,93.0,87.34429999200623,5.655700007993772,99.15854298454713,120L,85,"Strada Avram Iancu 13 A, Sibiu, Romania"
532,6B5I,100.0,95.85518717752291,4.144812822477093,100.0,120L,85,"Strada Avram Iancu 13, Sibiu, Romania"
536,PABD,99.0,95.66691605098596,3.333083949014039,100.0,120L,85,"Strada Avram Iancu 9 C, Sibiu, Romania"
539,FQWK,94.0,89.36675972932714,4.633240270672857,99.48773018011349,120L,85,"Strada Avram Iancu 8, Sibiu, Romania"
543,6EFC,95.0,88.33822146791567,6.661778532084327,100.0,120L,85,"Strada Avram Iancu 6, Sibiu, Romania"
549,ALEZ,79.0,73.90016216056476,5.099837839435239,84.498533150393,240L,80,"Strada G-ral Gheorghe Magheru 1, Sibiu, Romania"
551,CKBYOO,91.0,85.06087737059786,5.939122629402135,97.30950720391505,120L,85,"Strada G-ral Gheorghe Magheru 2, Sibiu, Romania"
553,R7EWOS,90.0,85.62901948850445,4.370980511495546,95.22923564000433,240L,80,"Piata mare 10, Sibiu, Romania"
554,GWMTJB,83.0,76.11727667524553,6.8827233247544655,89.78487530582609,240L,80,"piața mare 11, Sibiu, Romania"
564,J7WC7W,100.0,94.66824481092642,5.331755189073576,100.0,240L,80,"Strada Nicolae Bălcescu 9, Sibiu, Romania"
576,AE5BTG,94.0,88.44824737514499,5.551752624855013,100.0,240L,80,"Strada Nicolae Bălcescu 39, Sibiu, Romania"
580,ZQZCLD,86.0,75.3563919982269,10.643608001773103,95.38791500422263,240L,80,"Piața Unirii 10, Sibiu, Romania"
581,EWSTO2,80.0,71.2045748869868,8.795425113013195,88.01682420351574,240L,80,"Strada Andrei Șaguna 4, Sibiu, Romania"
582,STNZIZ,89.0,82.71363835698398,6.286361643016022,95.5036073017699,240L,80,"Strada Andrei Șaguna 4, Sibiu, Romania"
584,V4LT5O,92.0,87.40318029712752,4.59681970287248,97.42250046454126,120L,85,"Strada Andrei Șaguna 5, Sibiu, Romania"
587,MQP7,89.0,82.59698314145386,6.403016858546138,95.5824589107072,120L,85,"Strada Andrei Șaguna 7, Sibiu, Romania"
595,MCUN5O,88.0,82.18484629399796,5.815153706002036,94.16479444305841,120L,85,"Strada Vasile Aaron 33, Sibiu, Romania"
599,LOCZQ2,100.0,95.0395970677029,4.9604029322971,100.0,240L,80,"Strada Vasile Aaron 18, Sibiu, Romania"
603,CEAV,98.0,91.85869913837173,6.141300861628267,100.0,120L,85,"Strada Șoimului 3, Sibiu, Romania"
605,EC56ZN,98.0,90.92599628648773,7.074003713512269,100.0,120L,85,"Strada Vasile Aaron 11, Sibiu, Romania"
608,YL4U,95.0,93.21586667472755,1.7841333252724496,98.58221843261629,120L,85,"Strada Vasile Aaron 7, Sibiu, Romania"
612,ZKSMUP,95.0,91.28101530384986,3.7189846961501445,99.89005660303096,120L,85,"Strada Vasile Aaron 2, Sibiu, Romania"
618,RVTUKK,88.0,80.26999911145914,7.730000888540857,95.45911103684372,1.100L,70,"Strada Fabricii 8, Sibiu, Romania"
619,C6ZHR2,98.0,88.8363791131432,9.163620886856805,100.0,1.100L,70,"Strada Fabricii 8, Sibiu, Romania"
623,WOQ7CW,83.0,77.66526338460508,5.334736615394917,88.73853338196213,1.100L,70,"Strada Uzinei 3, Sibiu, Romania"
624,OVU6LL,88.0,80.68941126417184,7.310588735828162,95.17561472766488,1.100L,70,"Strada Uzinei 9, Sibiu, Romania"
625,KXCA,85.0,80.22468401734643,4.7753159826535665,90.4010118178737,120L,85,"Strada G-ral Gheorghe Magheru 55, Sibiu, Romania"
630,2SSUON,99.0,89.95645271933307,9.043547280666928,100.0,1.100L,70,"Strada Abatorului 4, Sibiu, Romania"
